Constraint,Passage,Model,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
e,short,roberta-large,0.9943354725837708,0.9957677125930786,0.9950510263442993
e,medium,roberta-large,0.8407953977584839,0.8557145595550537,0.8481894135475159
e,long,roberta-large,0.9997138977050781,0.9997138977050781,0.9997138977050781
et,short,roberta-large,1.0,1.0,1.0
et,medium,roberta-large,0.9963630437850952,0.996765673160553,0.9965642690658569
et,long,roberta-large,1.0,1.0,1.0
eta,short,roberta-large,0.9963048696517944,0.997238278388977,0.9967713356018066
eta,medium,roberta-large,0.9870328903198242,0.9900244474411011,0.9885264039039612
eta,long,roberta-large,0.9605406522750854,0.9773728847503662,0.9688836932182312
etao,short,roberta-large,0.9568141102790833,0.9702949523925781,0.963507354259491
etao,medium,roberta-large,0.9223707318305969,0.9541258811950684,0.9379796981811523
etao,long,roberta-large,0.9737077951431274,0.9776868224143982,0.9756932854652405
etaoi,short,roberta-large,0.985890805721283,0.987165093421936,0.9865275621414185
etaoi,medium,roberta-large,0.9987027645111084,0.9987306594848633,0.9987167119979858
etaoi,long,roberta-large,0.9983105659484863,0.9985021948814392,0.9984062910079956
etaoin,short,roberta-large,0.7182190418243408,0.7939298152923584,0.754179060459137
etaoin,medium,roberta-large,0.991239070892334,0.9918427467346191,0.991540789604187
etaoin,long,roberta-large,1.0,1.0,1.0
